# A tibble: 42 × 4
   Source              variable         Mean StdDev
   <chr>               <fct>           <dbl>  <dbl>
22 BCF(pi_oracle)_N500 ATE_MAPE      0.202   0.142  
23 BCF(pi_oracle)_N500 ATE_cover     0.93    0.256  
24 BCF(pi_oracle)_N500 ATE_len       0.453   0.0280 
25 BCF(pi_oracle)_N500 pi_RMSE       0       0      
26 BCF(pi_oracle)_N500 pi_MAE        0       0      
27 BCF(pi_oracle)_N500 SE_CATE_cover 0.00443 0.0112 
28 BCF(pi_oracle)_N500 AE_CATE_cover 0.0482  0.0462 
29 BCF_N500            CATE_RMSE     0.223   0.0484 
30 BCF_N500            CATE_MAE      0.183   0.0425 
31 BCF_N500            CATE_MAPE     0.559   0.150  
32 BCF_N500            CATE_cover    0.937   0.0790 
33 BCF_N500            CATE_len      0.853   0.0953 
34 BCF_N500            ATE_RMSE      0.108   0.0754 
35 BCF_N500            ATE_MAE       0.108   0.0754 
36 BCF_N500            ATE_MAPE      0.217   0.150  
37 BCF_N500            ATE_cover     0.93    0.256  
38 BCF_N500            ATE_len       0.478   0.0315 
39 BCF_N500            pi_RMSE       0.0988  0.0112 
40 BCF_N500            pi_MAE        0.0767  0.00851
41 BCF_N500            SE_CATE_cover 0.00635 0.0153 
42 BCF_N500            AE_CATE_cover 0.0545  0.0585 
